noise,function,epoch,total_strength,non_gt_strength,total_detected_pairs,non_gt_detected_pairs,pct_non_gt_strength
0.0,0,5,322.8298773765564,244.4630036354065,45,34,0.7572502446861766
0.0,0,10,396.1695442199707,299.8462438583374,45,34,0.7568634394870315
0.0,0,15,475.09923553466797,359.0768241882324,45,34,0.7557933108103893
0.0,0,20,518.8203191757202,391.4987277984619,45,34,0.7545940537187475
0.0,0,25,542.9680862426758,409.1345453262329,45,34,0.7535149039005808
0.0,0,30,565.2744302749634,425.52594089508057,45,34,0.7527776211071382
0.0,0,35,584.8250484466553,440.02416801452637,45,34,0.7524030805165869
0.0,0,40,600.4704828262329,451.6461019515991,45,34,0.7521537109132106
0.0,0,45,611.265172958374,459.6822671890259,45,34,0.7520177617256931
0.0,0,50,620.5649433135986,466.58367824554443,45,34,0.751869217352419
0.0,0,55,625.5314702987671,470.31376457214355,45,34,0.7518626750265833
0.0,0,60,634.0821361541748,476.63868045806885,45,34,0.7516986416759344
0.0,0,65,636.919111251831,478.6501274108887,45,34,0.7515085023436119
0.0,0,70,638.9504146575928,480.0834074020386,45,34,0.7513625414255498
0.0,0,75,646.1073656082153,485.34443855285645,45,34,0.7511823334438775
0.0,0,80,652.0803956985474,489.78107357025146,45,34,0.7511053495874048
0.0,0,85,654.9381217956543,491.9102668762207,45,34,0.7510789958714599
0.0,0,90,661.7177906036377,496.9065418243408,45,34,0.7509342334154986
0.0,0,95,664.2132148742676,498.72640895843506,45,34,0.7508528854741935
0.0,0,100,669.2311563491821,502.3913516998291,45,34,0.750699286686673
0.0,0,105,675.1968507766724,506.7557497024536,45,34,0.7505303810578154
0.0,0,110,680.8023834228516,510.8420648574829,45,34,0.7503529325046359
0.0,0,115,684.1451282501221,513.2703561782837,45,34,0.7502360756278489
0.0,0,120,688.2755994796753,516.3300971984863,45,34,0.7501792851422052
0.0,0,125,689.0775060653687,516.9109449386597,45,34,0.7501492072934139
0.0,0,130,693.6863126754761,520.1060934066772,45,34,0.7497713071498864
0.0,0,135,697.0578966140747,522.5730037689209,45,34,0.7496837871105018
0.0,0,140,700.5235958099365,525.2056264877319,45,34,0.7497329563617269
0.0,0,145,702.9888296127319,527.0960855484009,45,34,0.7497929744328526
0.0,0,150,706.9013986587524,529.9520397186279,45,34,0.7496831110026629
0.0,0,155,708.7720565795898,531.3466691970825,45,34,0.7496721467283403
0.0,0,160,709.9439849853516,532.180362701416,45,34,0.7496089465599118
0.0,0,165,712.0507001876831,533.6845369338989,45,34,0.7495035631496872
0.0,0,170,726.2837066650391,544.2817268371582,45,34,0.7494064947930593
0.0,0,175,740.4233322143555,554.8512659072876,45,34,0.7493703152869515
0.0,0,180,744.0736923217773,557.5020055770874,45,34,0.7492564396914505
0.0,0,185,747.5551204681396,559.9849071502686,45,34,0.7490884508952194
0.0,0,190,749.188871383667,561.175012588501,45,34,0.7490434442146391
0.0,0,195,748.9494276046753,561.0099830627441,45,34,0.749062570028248
0.0,0,200,751.8128690719604,563.1368255615234,45,34,0.749038555640395
0.0,0,205,755.0689153671265,565.4877777099609,45,34,0.7489220734706197
0.0,0,210,757.4129333496094,567.3045196533203,45,34,0.7490029476318185
0.0,0,215,760.0757274627686,569.3127107620239,45,34,0.7490210385515965
0.0,0,220,762.7243604660034,571.2574157714844,45,34,0.7489696742116132
0.0,0,225,763.2690811157227,571.5874795913696,45,34,0.7488675930064406
0.0,0,230,762.2252035140991,570.5906372070312,45,34,0.7485853715889048
0.0,0,235,765.3502616882324,572.8104000091553,45,34,0.7484290901601474
0.0,0,240,766.3978128433228,573.744122505188,45,34,0.7486244257099408
0.0,0,245,770.2250375747681,576.6320028305054,45,34,0.7486539319030241
0.0,0,250,772.8424015045166,578.6145496368408,45,34,0.748683753001172
0.0,1,5,311.78795051574707,234.83432531356812,45,34,0.7531860192964925
0.0,1,10,424.1143116950989,310.2744765281677,45,34,0.7315821889812273
0.0,1,15,444.4286799430847,326.12970447540283,45,34,0.7338178636832517
0.0,1,20,470.98174953460693,345.9980525970459,45,34,0.7346315498189422
0.0,1,25,490.95838356018066,360.82040882110596,45,34,0.734930741389156
0.0,1,30,505.49707317352295,371.4691390991211,45,34,0.7348591293853158
0.0,1,35,520.1575775146484,382.3886413574219,45,34,0.7351399996603
0.0,1,40,533.399600982666,392.1352424621582,45,34,0.7351622343543912
0.0,1,45,543.3292579650879,399.47897815704346,45,34,0.7352428979311686
0.0,1,50,552.0863742828369,406.0983600616455,45,34,0.7355703364155086
0.0,1,55,558.8195552825928,411.23212242126465,45,34,0.7358942945604426
0.0,1,60,565.9584379196167,416.6818313598633,45,34,0.7362410442920969
0.0,1,65,570.5998382568359,420.04353427886963,45,34,0.7361438018666256
0.0,1,70,574.8097906112671,423.01201152801514,45,34,0.7359165039241465
0.0,1,75,578.664176940918,425.8840923309326,45,34,0.7359779804969937
0.0,1,80,580.4544477462769,427.2593936920166,45,34,0.7360773878999989
0.0,1,85,582.0042753219604,428.55789375305176,45,34,0.7363483601833954
0.0,1,90,583.1581468582153,429.1671152114868,45,34,0.735936070727364
0.0,1,95,584.2814674377441,430.13684844970703,45,34,0.7361808861335104
0.0,1,100,585.0410814285278,430.6062078475952,45,34,0.7360273005036826
0.0,1,105,583.7457799911499,429.6385803222656,45,34,0.7360028886697537
0.0,1,110,585.2748346328735,430.76576805114746,45,34,0.7360059626027727
0.0,1,115,584.8838014602661,430.4555311203003,45,34,0.7359676059511154
0.0,1,120,581.7569913864136,428.2899055480957,45,34,0.7362007021650334
