epoch,mean_abs_shap_noise,mean_abs_shap_true,inflation_ratio
1,0.0010683665331543328,0.0053724737932053365,0.19885929190501084
2,0.00551124750028046,0.022845269544000214,0.24124238273588153
3,0.015955683113130347,0.0773926817458393,0.20616526714197847
5,0.017369731530279913,0.18643250540464937,0.09316900719330101
8,0.013794244139289183,0.174103711066922,0.07923004039102252
10,0.012204098588265872,0.17699447337084323,0.06895186209426821
15,0.012760280538689018,0.17973252385136596,0.07099594549868718
20,0.016359837979098315,0.19742882579852206,0.08286448460636238
30,0.015108240257114474,0.19978233969120154,0.07562350208153229
50,0.013971772683557045,0.22605993136031372,0.061805612952620166
75,0.014728554268744327,0.2141148090334262,0.06878811543416825
100,0.016687497669053922,0.21586911609870493,0.07730377505284212
150,0.019170794532288708,0.21035769066575266,0.09113426935084501
200,0.021567416783912465,0.21443517071176826,0.10057779519911117
250,0.023770652482426505,0.21563043142743432,0.11023792984520399
300,0.026049642895776857,0.21897020888351443,0.11896432354718244
