noise,function,epoch,total_strength,non_gt_strength,frac_non_gt_strength
0.1,0,5,1553.4754581451416,1176.379623413086,0.7572566513652486
0.1,0,10,2539.4161109924316,1923.5271530151367,0.7574682796918227
0.1,0,15,2886.259307861328,2188.9636459350586,0.7584085185876958
0.1,0,20,3155.4046058654785,2392.665454864502,0.7582753255848247
0.1,0,25,3337.2546768188477,2528.0866165161133,0.7575348186869413
0.1,0,30,3428.00626373291,2594.6762084960938,0.7569053288924371
0.1,0,35,3459.693428039551,2617.0177688598633,0.7564305402466849
0.1,0,40,3505.512519836426,2650.2415924072266,0.7560211459552544
0.1,0,45,3540.990165710449,2675.9499893188477,0.7557066989995314
0.1,0,50,3567.3853912353516,2694.8793869018555,0.7554214337264648
0.1,0,55,3577.51407623291,2701.5858840942383,0.7551573037943105
0.1,0,60,3599.2188568115234,2717.240264892578,0.7549527753085087
0.1,0,65,3605.950325012207,2721.576919555664,0.7547460930556358
0.1,0,70,3628.5727157592773,2738.0726318359375,0.7545866781018873
0.1,0,75,3627.9023818969727,2736.9687576293945,0.7544218309970833
0.1,0,80,3650.3177947998047,2753.283073425293,0.7542584586327206
0.1,0,85,3653.3813705444336,2755.0202255249023,0.7541014600165719
0.1,0,90,3672.835777282715,2769.2708587646484,0.7539871169555655
0.1,0,95,3678.268226623535,2772.83837890625,0.7538434415511821
0.1,0,100,3682.0359802246094,2775.267822265625,0.7537318584530315
0.1,0,105,3689.2627334594727,2780.292808532715,0.7536174594769495
0.1,0,110,3708.5007705688477,2794.5041275024414,0.7535401231894018
0.1,0,115,3712.8126373291016,2797.32186126709,0.7534239226462577
0.1,0,120,3724.8912963867188,2806.0957794189453,0.7533362871933902
0.1,0,125,3730.7684326171875,2810.165313720703,0.753240348329347
0.1,0,130,3738.60733795166,2815.878837585449,0.7531892448293958
0.1,0,135,3749.3777084350586,2823.7304153442383,0.7531197534437857
0.1,0,140,3757.3669967651367,2829.4862747192383,0.7530502815283289
0.1,0,145,3757.4935989379883,2829.2387771606445,0.7529590410906608
0.1,0,150,3768.905288696289,2837.5849533081055,0.7528936749402001
0.1,0,155,3776.7843017578125,2843.277198791504,0.7528301781672225
0.1,0,160,3785.770706176758,2849.8240814208984,0.7527725006618082
0.1,0,165,3787.863594055176,2851.0617294311523,0.7526833157101331
0.1,0,170,3793.8899307250977,2855.3962936401367,0.7526302411979584
0.1,0,175,3801.8345108032227,2861.1358337402344,0.7525671687208065
0.1,0,180,3811.2510299682617,2867.995185852051,0.7525075528483185
0.1,0,185,3820.5254287719727,2874.784034729004,0.7524577674786062
0.1,0,190,3826.6279907226562,2879.1084899902344,0.7523878717686681
0.1,0,195,3830.934883117676,2882.107292175293,0.7523247928009122
0.1,0,200,3842.4937591552734,2890.6255264282227,0.7522785221292569
0.1,1,5,1560.3611660003662,1191.146650314331,0.7633788101555783
0.1,1,10,2045.1051292419434,1559.9082984924316,0.762752132488485
0.1,1,15,3411.293182373047,2593.532554626465,0.7602784093808929
0.1,1,20,3951.864616394043,3000.517059326172,0.7592661567602111
0.1,1,25,4010.436195373535,3044.898147583008,0.7592436331727759
0.1,1,30,4043.0159454345703,3069.742202758789,0.75927036751492
0.1,1,35,4075.0754928588867,3094.1511001586914,0.7592868170370939
0.1,1,40,4111.469528198242,3121.818977355957,0.7592951755923684
0.1,1,45,4146.471702575684,3148.420066833496,0.7593009895323236
0.1,1,50,4189.574768066406,3180.9300994873047,0.759248915601853
0.1,1,55,4222.7760009765625,3206.019660949707,0.7592208680281123
0.1,1,60,4267.285835266113,3239.410224914551,0.7591266088020411
0.1,1,65,4316.604331970215,3276.5201110839844,0.7590503690173733
0.1,1,70,4366.584632873535,3313.9750900268555,0.7589398508568502
0.1,1,75,4414.017196655273,3349.4253463745117,0.7588156541194587
