epoch,mean_abs_shap_noise,mean_abs_shap_true,inflation_ratio
1,0.0031952178588410705,0.0023542593961630226,1.357206647169804
2,0.010498566297856931,0.011308276301236212,0.9283966088016993
3,0.014059338113669948,0.029077296116260525,0.4835159904119054
5,0.02266732448247368,0.14214903799149842,0.15946167939854564
8,0.01417062520260386,0.18606697954785115,0.07615873144649422
10,0.012203978156369519,0.17298927124866612,0.07054760100283398
15,0.008303155785988565,0.17072517944088275,0.04863462884939642
20,0.010129314495626492,0.18317318671920588,0.05529911130418365
30,0.011157506824944867,0.19974416659338518,0.0558589868198703
50,0.010469693496676775,0.21974309421615035,0.0476451534751445
75,0.011965327270651175,0.22130055660441655,0.05406822016255227
100,0.01244112887378462,0.20985104425666776,0.059285522540847665
150,0.014608320890588526,0.2100484205036332,0.06954739667175193
200,0.016301882667707764,0.22218161742649054,0.0733718783001002
250,0.018571457177119534,0.2202531075237799,0.08431870633559954
300,0.020150998870621998,0.22252229086162026,0.09055721429991959
