epoch,train_loss,val_loss
1,0.713292372226715,0.688784102598826
2,0.6696351091066997,0.6412548343340556
3,0.6203955817222595,0.5795722929636637
4,0.5339986554781596,0.4587387963136037
5,0.393638383547465,0.32470943888028464
6,0.30042924284934996,0.27708786209424335
7,0.26662420749664306,0.2521127704779307
8,0.2546638548374176,0.24248671094576518
9,0.24738741417725882,0.23817728638648986
10,0.24240355908870698,0.23603923042615255
11,0.2359066289663315,0.22930412292480468
12,0.23112193922201793,0.22798346996307373
13,0.229627685546875,0.21957260847091675
14,0.22262542128562926,0.21570928037166595
15,0.217081236243248,0.21080020566781363
16,0.21108501136302948,0.20523310939470926
17,0.2042433327436447,0.19722908437252046
18,0.19998603959878286,0.19471050918102265
19,0.18504976590474448,0.17639628072579702
20,0.16704733630021412,0.16297215779622395
21,0.15302384634812674,0.15297593633333842
22,0.1376743080218633,0.13766489624977113
23,0.12617986341317494,0.128743909796079
24,0.12043204804261526,0.12008506457010905
25,0.11157158623139063,0.11568799008925756
26,0.10687229355176289,0.11356423030296961
27,0.10288965870936712,0.10899851510922114
28,0.09945772518714269,0.11676745812098185
29,0.10364074150721232,0.1154510102669398
30,0.10064979910850524,0.11273622483015061
31,0.09989702999591828,0.1042322967449824
32,0.09996637056271235,0.10973143378893534
33,0.09940675099690756,0.11728242238362631
34,0.09667662074168523,0.10669062276681264
35,0.09407961239417394,0.10160151461760203
36,0.0909750243028005,0.1014510890841484
37,0.09090168714523315,0.0996508534749349
38,0.09005841821432113,0.0988014143705368
39,0.09004990766445796,0.11162398000558217
40,0.09612480789422989,0.10259791483481726
41,0.09138504058122635,0.10118741949399312
42,0.08984296838442485,0.10438205599784851
43,0.08808070619901022,0.09667567541201909
44,0.08547726998726526,0.09828737209240596
45,0.08962118953466415,0.10366964032252629
46,0.08998093773921331,0.10099829842646917
47,0.09101696252822876,0.10175289422273635
48,0.08946887031197548,0.10797731687625249
49,0.0885402207573255,0.09835060079892477
50,0.08589603732029596,0.09714023898045222
51,0.08529674003521602,0.09468327065308889
52,0.08442780405282974,0.09422255684932072
53,0.08275820225477219,0.09560853481292725
54,0.08317218979199727,0.09450372268756231
55,0.08198529909054439,0.09529318292935689
56,0.08144235243399937,0.10550498376290003
57,0.08552693078915279,0.09466732780138652
58,0.0814008375008901,0.09422537197669346
59,0.08056052237749099,0.09695735265811284
60,0.08136645982662837,0.09465987433989843
61,0.0805641265710195,0.09774405022462208
62,0.08232804169257482,0.09710943718751272
63,0.08226678490638734,0.09767935593922933
64,0.08477800051371256,0.09823719551165899
65,0.0807955351471901,0.09492318411668142
66,0.07869074612855911,0.09390021363894145
67,0.0785875611503919,0.09307192335526149
68,0.07942173957824707,0.09494439085324605
69,0.08332438041766485,0.09485500315825145
70,0.07980999877055486,0.0995918549100558
71,0.0811898097395897,0.09931303709745407
72,0.08015945047140122,0.09428794721762339
73,0.07832452048858007,0.09364164849122365
74,0.0776689009865125,0.09230738917986551
75,0.07854605505863825,0.09460919807354609
76,0.07771353085835775,0.09351865539948145
77,0.07656159202257792,0.0920022960503896
78,0.07957477321227392,0.10080550521612168
79,0.08072913547356923,0.0935738272468249
80,0.0794338345527649,0.09696536272764206
81,0.07772503068049749,0.09590837349494298
82,0.07755558182795842,0.09631701409816742
83,0.07747046281894047,0.09496683458487193
84,0.07798339277505875,0.09216371903816858
85,0.07663722306489945,0.10274074345827103
86,0.08449390361706416,0.098174589574337
87,0.07662746548652649,0.09627137770255406
88,0.07602218161026637,0.09361843943595886
89,0.07577688813209534,0.09443558832009634
90,0.07603782047828038,0.09417892734209697
91,0.07948226441939672,0.09342549234628678
92,0.07697235325972239,0.0921926952401797
93,0.07637022535006205,0.09933835993210474
94,0.0777677783370018,0.09357107192277908
95,0.0771776909629504,0.09364157358805339
96,0.07596656650304795,0.09248751600583395
97,0.07579930812120438,0.09238069732983907
98,0.07495473275581996,0.09318726102511088
99,0.07458882123231887,0.09333606471618017
100,0.0749206159512202,0.09342816124359767
101,0.07572497715552648,0.09553782016038895
102,0.07688926190137862,0.09448688685894012
103,0.07497067302465439,0.09396298040946324
104,0.07435833737254142,0.09690776745478312
105,0.07656038880348205,0.0934384588400523
106,0.07485604614019394,0.09273364365100861
107,0.07418366511662801,0.09709061195453007
108,0.07675305366516114,0.09734768847624461
109,0.07759299010038376,0.10250693460305532
110,0.07918527583281199,0.09635533144076665
111,0.07668620000282923,0.09808854212363562
112,0.07461384256680806,0.09262416164080302
113,0.07312940021355947,0.09433008084694544
114,0.07358964393536249,0.09410091668367386
